class_name,precision,recall,f1_score,support
Benign,0.9090634711261151,0.9874149308822905,0.9466206876482314,164719
BruteForce,0.9229422066549913,0.26887755102040817,0.41643619122876335,1960
DDoS,0.9731579385157567,0.6774729705108176,0.7988317627848797,4127344
DoS,0.4059869061584168,0.9210991189717854,0.5635718777762119,985553
Mirai,0.985475171037194,0.9986951872483506,0.9920411383607161,259041
Spoofing,0.9636496350364964,0.8142011347751007,0.8826439650561597,72966
Web-based,0.8557993730407524,0.1614429331756357,0.2716417910447761,1691
macro avg,0.859439243081389,0.689886260940627,0.6959696305571054,5613274
weighted avg,0.8720877467101233,0.7456457675146447,0.771576042845255,5613274
