class_name,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,164719
BruteForce,0.0,0.0,0.0,1960
DDoS,0.7618019035373897,0.7832354172562307,0.7723699923018222,4127344
DoS,0.206828811226785,0.23651696052875898,0.2206788691699028,985553
Mirai,0.0,0.0,0.0,259041
Spoofing,0.30052268037415514,0.9999588849601184,0.4621523785997283,72966
Web-based,0.0,0.0,0.0,1691
macro avg,0.18130762787690427,0.28853018039215833,0.20788589143877906,5613274
weighted avg,0.600360361714179,0.63042441897545,0.6126636229606617,5613274
