epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_epoch,best_val_loss,epoch_time_seconds,cumulative_training_time_seconds
1,1.332195,0.867681,1.542445,0.735610,1,1.542445,226.39,226.39
2,1.133415,0.871921,1.456611,0.630141,2,1.456611,224.11,450.50
3,0.912639,0.884329,1.617539,0.480896,2,1.456611,218.69,669.19
4,0.727762,0.911709,1.575798,0.530634,2,1.456611,224.56,893.75
5,0.621930,0.919364,1.466990,0.603006,2,1.456611,226.48,1120.24
6,0.572968,0.918763,1.648468,0.529924,2,1.456611,265.17,1385.41
7,0.541632,0.917308,1.710972,0.523737,2,1.456611,233.05,1618.45
