,Benign,BruteForce,DDoS,DoS,Mirai,Spoofing,Web-based
Benign,0,0,0,0,0,164719,0
BruteForce,0,0,0,0,0,1960,0
DDoS,0,0,3232682,893918,0,744,0
DoS,0,0,752292,233100,0,161,0
Mirai,0,0,258491,1,0,549,0
Spoofing,0,0,3,0,0,72963,0
Web-based,0,0,0,0,0,1691,0
