epoch,accuracy,loss,val_accuracy,val_loss
0,0.1225714311003685,2.0701234340667725,0.125,2.0520381927490234
1,0.12514285743236542,2.0500268936157227,0.125,2.0384693145751953
2,0.1257857084274292,2.0354747772216797,0.125,2.0269086360931396
3,0.12457142770290375,2.02520489692688,0.12033333629369736,2.0163025856018066
4,0.12264285981655121,2.0147478580474854,0.12533333897590637,2.005732774734497
5,0.12549999356269836,2.0058274269104004,0.125,1.9951386451721191
6,0.1265714317560196,1.9953937530517578,0.125,1.9842039346694946
7,0.13042856752872467,1.9837100505828857,0.12566666305065155,1.9722754955291748
8,0.13178572058677673,1.9753037691116333,0.13099999725818634,1.9604268074035645
9,0.15121428668498993,1.9618477821350098,0.156333327293396,1.9462757110595703
10,0.17385713756084442,1.9506396055221558,0.20600000023841858,1.9321039915084839
11,0.206142857670784,1.937554121017456,0.2396666705608368,1.9170132875442505
12,0.23107142746448517,1.923299789428711,0.24899999797344208,1.8991494178771973
13,0.2459285706281662,1.906408429145813,0.25,1.8800324201583862
14,0.25621429085731506,1.8887155055999756,0.25,1.862391471862793
15,0.25857141613960266,1.8713515996932983,0.25,1.8429641723632812
16,0.2606428563594818,1.8545831441879272,0.25,1.8231061697006226
17,0.26100000739097595,1.8310405015945435,0.25,1.802009105682373
18,0.25999999046325684,1.8121540546417236,0.25,1.778853178024292
19,0.26357144117355347,1.7885290384292603,0.25,1.7540702819824219
20,0.2685714364051819,1.7656632661819458,0.25,1.7281956672668457
21,0.26600000262260437,1.7439111471176147,0.25,1.7010319232940674
22,0.27649998664855957,1.7178220748901367,0.25,1.6728993654251099
23,0.28535714745521545,1.6908677816390991,0.25,1.6451562643051147
24,0.2932857275009155,1.6661862134933472,0.2516666650772095,1.617106318473816
25,0.30542856454849243,1.6357537508010864,0.25999999046325684,1.5886173248291016
26,0.31207144260406494,1.611070990562439,0.2693333327770233,1.5587587356567383
27,0.3240000009536743,1.5846487283706665,0.2809999883174896,1.5298278331756592
28,0.34049999713897705,1.5577017068862915,0.30399999022483826,1.5007953643798828
29,0.35028570890426636,1.5313297510147095,0.3293333351612091,1.4705592393875122
30,0.36228570342063904,1.5029963254928589,0.3413333296775818,1.4420918226242065
31,0.38671427965164185,1.4766056537628174,0.36933332681655884,1.4140146970748901
32,0.39571428298950195,1.4479360580444336,0.390666663646698,1.3867499828338623
33,0.41192856431007385,1.4259753227233887,0.43066665530204773,1.360034704208374
34,0.4337143003940582,1.4056822061538696,0.4883333444595337,1.3342241048812866
35,0.44357141852378845,1.3816423416137695,0.5400000214576721,1.3088895082473755
36,0.464428573846817,1.3564627170562744,0.5843333601951599,1.2834335565567017
37,0.48178571462631226,1.330997347831726,0.6186666488647461,1.2594982385635376
38,0.4927857220172882,1.315730094909668,0.6526666879653931,1.23567533493042
39,0.5153571367263794,1.2893192768096924,0.6746666431427002,1.2122325897216797
40,0.5220000147819519,1.273807168006897,0.6859999895095825,1.1895942687988281
41,0.5318571329116821,1.2581486701965332,0.6880000233650208,1.167105793952942
42,0.5475000143051147,1.234320044517517,0.7013333439826965,1.1446971893310547
43,0.5590000152587891,1.2128913402557373,0.7239999771118164,1.122888207435608
44,0.5673571228981018,1.1973295211791992,0.7229999899864197,1.1029261350631714
45,0.5773571133613586,1.1779446601867676,0.7423333525657654,1.0818034410476685
46,0.5844285488128662,1.1601837873458862,0.765333354473114,1.0603026151657104
47,0.5970714092254639,1.1439552307128906,0.762333333492279,1.0416964292526245
48,0.606071412563324,1.123719573020935,0.777999997138977,1.0228365659713745
49,0.6092143058776855,1.1075448989868164,0.7943333387374878,1.0048003196716309
