epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_epoch,best_val_loss,epoch_time_seconds,cumulative_training_time_seconds
1,1.175220,0.910066,1.475654,0.747276,1,1.475654,232.06,232.06
2,0.881591,0.914315,1.335880,0.563718,2,1.335880,234.29,466.35
3,0.714505,0.907417,1.618502,0.479490,2,1.335880,253.29,719.64
4,0.570477,0.920491,1.631199,0.501336,2,1.335880,225.44,945.09
5,0.475268,0.928221,1.787865,0.480619,2,1.335880,224.28,1169.37
6,0.395332,0.936005,1.566957,0.525217,2,1.335880,226.53,1395.90
7,0.339777,0.945603,1.514923,0.581751,2,1.335880,221.79,1617.69
