,Benign,BruteForce,DDoS,DoS,Mirai,Spoofing,Web-based
Benign,0,0,0,0,0,164719,0
BruteForce,1,0,0,0,0,1959,0
DDoS,156,0,2906010,1219842,0,1336,0
DoS,0,0,798272,186949,0,332,0
Mirai,5,0,257834,399,0,803,0
Spoofing,2,0,0,0,0,72964,0
Web-based,0,0,0,0,0,1691,0
