class_name,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,164719
BruteForce,0.0,0.0,0.0,1960
DDoS,0.7334489954357722,0.7040871805209356,0.7184682290288845,4127344
DoS,0.13285270645755015,0.1896894433886356,0.15626333459130376,985553
Mirai,0.0,0.0,0.0,259041
Spoofing,0.29927318665813524,0.9999725899734123,0.46067493765192413,72966
Web-based,0.0,0.0,0.0,1691
macro avg,0.16651069836449395,0.27053560198328336,0.19077235732458747,5613274
weighted avg,0.5665083267559926,0.5640064960306588,0.5617015916148341,5613274
