class_name,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,164719
BruteForce,0.0,0.0,0.0,1960
DDoS,0.8621318271333301,0.6594240751437244,0.7472751831313884,4127344
DoS,0.27717140928595013,0.5170609799777384,0.36088812907785656,985553
Mirai,0.6898776138714973,0.9962013735277427,0.8152133223188013,259041
Spoofing,0.29932229533483207,0.9999725899734123,0.46073311653458787,72966
Web-based,0.0,0.0,0.0,1691
macro avg,0.30407187794651563,0.453237002660374,0.3405871072946621,5613274
weighted avg,0.718302487183072,0.6346175155533117,0.6564311039388337,5613274
