epoch,accuracy,loss,val_accuracy,val_loss
0,0.31771427392959595,2.5117347240448,0.125,2.8471426963806152
1,0.5197142958641052,2.2266647815704346,0.125,2.840775728225708
2,0.6375714540481567,2.0874226093292236,0.125,2.7912261486053467
3,0.7210000157356262,1.9866944551467896,0.125,2.76314640045166
4,0.7416428327560425,1.9088914394378662,0.08766666799783707,2.739043712615967
5,0.7496428489685059,1.8520841598510742,0.12533333897590637,2.7322447299957275
6,0.7405714392662048,1.800840973854065,0.1276666671037674,2.7344839572906494
7,0.746071457862854,1.7606321573257446,0.13966666162014008,2.731797933578491
8,0.7608571648597717,1.7241578102111816,0.18766666948795319,2.7057645320892334
9,0.7815714478492737,1.689734697341919,0.23733332753181458,2.6819844245910645
10,0.8002142906188965,1.6584045886993408,0.2486666738986969,2.6565423011779785
11,0.8165000081062317,1.6298940181732178,0.25,2.641256093978882
12,0.8205714225769043,1.6056089401245117,0.25,2.6249899864196777
13,0.8305714130401611,1.580525279045105,0.25,2.604743719100952
14,0.8382142782211304,1.5588383674621582,0.25,2.5836598873138428
15,0.8447142839431763,1.5415668487548828,0.2529999911785126,2.5677640438079834
16,0.8467142581939697,1.5228806734085083,0.2863333225250244,2.5500872135162354
17,0.8550000190734863,1.5049439668655396,0.3396666646003723,2.528578758239746
18,0.8542143106460571,1.4898688793182373,0.3633333444595337,2.508242607116699
19,0.858214259147644,1.4757970571517944,0.3726666569709778,2.486881732940674
20,0.8600000143051147,1.4617078304290771,0.38066667318344116,2.47721266746521
21,0.8619999885559082,1.4493646621704102,0.4046666622161865,2.450528383255005
22,0.8611428737640381,1.4384167194366455,0.437333345413208,2.4336776733398438
23,0.8629999756813049,1.4258501529693604,0.4633333384990692,2.4025540351867676
24,0.8647857308387756,1.4168481826782227,0.47999998927116394,2.369201421737671
25,0.8673571348190308,1.4035793542861938,0.492000013589859,2.331990957260132
26,0.8667857050895691,1.3947781324386597,0.49533334374427795,2.2865161895751953
27,0.8686428666114807,1.384539008140564,0.4970000088214874,2.2403109073638916
28,0.8679285645484924,1.3740540742874146,0.4983333349227905,2.196627616882324
29,0.8691428303718567,1.3638393878936768,0.49900001287460327,2.147613048553467
30,0.871071457862854,1.355915904045105,0.49933332204818726,2.096217393875122
31,0.869785726070404,1.345848798751831,0.5,2.042022228240967
32,0.8708571195602417,1.3388121128082275,0.5053333044052124,1.9692925214767456
33,0.8720714449882507,1.3310095071792603,0.5216666460037231,1.8958516120910645
34,0.8722857236862183,1.3210196495056152,0.5690000057220459,1.7859666347503662
35,0.87371426820755,1.3155255317687988,0.6380000114440918,1.666972279548645
36,0.8732143044471741,1.3079349994659424,0.6890000104904175,1.5852054357528687
37,0.8734285831451416,1.2997910976409912,0.7210000157356262,1.503888726234436
38,0.8744999766349792,1.2916896343231201,0.7360000014305115,1.4341284036636353
39,0.8752142786979675,1.2845890522003174,0.7453333139419556,1.3771512508392334
40,0.8756428360939026,1.2769309282302856,0.7486666440963745,1.338055968284607
41,0.8773571252822876,1.2693101167678833,0.7596666812896729,1.3049461841583252
42,0.8787857294082642,1.2614909410476685,0.793666660785675,1.2727500200271606
43,0.8794999718666077,1.2551498413085938,0.8173333406448364,1.247397541999817
44,0.8822857141494751,1.2482178211212158,0.8433333039283752,1.223757266998291
45,0.8832857012748718,1.2427680492401123,0.8579999804496765,1.2074624300003052
46,0.8865000009536743,1.2341655492782593,0.8703333139419556,1.1897592544555664
47,0.8889999985694885,1.2286843061447144,0.8706666827201843,1.1825675964355469
48,0.8951428532600403,1.221840739250183,0.8740000128746033,1.1700166463851929
49,0.8992142677307129,1.214514970779419,0.874666690826416,1.1614477634429932
