class_name,precision,recall,f1_score,support
Benign,0.9087950791763648,0.9884530624882375,0.9469518082099362,164719
BruteForce,0.9368600682593856,0.2801020408163265,0.4312647289866457,1960
DDoS,0.9731652160148094,0.6821956202342233,0.8021079556695749,4127344
DoS,0.40944975326361155,0.9207795014575574,0.566839044238302,985553
Mirai,0.9870199716216834,0.9989499731702703,0.9929491397950548,259041
Spoofing,0.9660970007005425,0.8127072883260696,0.8827885996710012,72966
Web-based,0.8764367816091954,0.1803666469544648,0.29916625796959295,1691
macro avg,0.8654034100922274,0.694793447635307,0.7031525049343011,5613274
weighted avg,0.872807391765652,0.7490945569377159,0.7746255739064395,5613274
