experiment_id,experiment_key,model_name,feature_count,feature_reduction_pct,test_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,precision_weighted,recall_weighted,roc_auc_macro,pr_auc_macro,training_duration_seconds,inference_duration_seconds,ms_per_sample
1,cnn_transformer_baseline,CNN-Transformer Baseline,46,0.0,0.5640064960306588,0.16651069836449395,0.27053560198328336,0.19077235732458747,0.5617015916148341,0.5665083267559926,0.5640064960306588,0.6889615173004576,0.20545421474938602,1618.91,201.714,0.0359
2,cnn_transformer_class_weighted,CNN-Transformer Class-Weighted,46,0.0,0.63042441897545,0.18130762787690427,0.28853018039215833,0.20788589143877906,0.6126636229606617,0.600360361714179,0.63042441897545,0.7265221918130031,0.25292625928936985,1619.58,207.8061,0.037
3,mlp_baseline,MLP Baseline,46,0.0,0.6346175155533117,0.30407187794651563,0.453237002660374,0.3405871072946621,0.6564311039388337,0.718302487183072,0.6346175155533117,0.9262789223503924,0.566947517022086,179.55,19.666,0.0035
4,xgboost_baseline,XGBoost Baseline,46,0.0,0.7490945569377159,0.8654034100922274,0.694793447635307,0.7031525049343011,0.7746255739064395,0.872807391765652,0.7490945569377159,0.9729640183742099,0.7636260990220161,50.68,1.8597,0.0003
5,xgboost_bpso,XGBoost + BPSO,27,41.3,0.7456457675146447,0.859439243081389,0.689886260940627,0.6959696305571054,0.771576042845255,0.8720877467101233,0.7456457675146447,0.9724985793109617,0.7585048523619616,44.58,1.7807,0.000317
6,proposed_cnn_transformer_bpso,Proposed CNN-Transformer + BPSO,27,41.3,0.5379726697823766,0.269088376370045,0.30951112593200963,0.26135394945846047,0.5903459798760986,0.6687274544638707,0.5379726697823766,0.6567329933398937,0.30433684891747376,2933.4,262.4756,0.0468
