epoch,accuracy,loss,val_accuracy,val_loss
0,0.9100658893585205,1.1752198934555054,0.7472755908966064,1.4756543636322021
1,0.9143153429031372,0.8815914392471313,0.5637180209159851,1.3358795642852783
2,0.907416820526123,0.7145048975944519,0.47949010133743286,1.6185017824172974
3,0.9204911589622498,0.5704772472381592,0.5013362169265747,1.6311990022659302
4,0.9282205104827881,0.47526833415031433,0.48061904311180115,1.7878645658493042
5,0.9360046982765198,0.395332008600235,0.5252165794372559,1.5669573545455933
6,0.9456028938293457,0.3397768437862396,0.5817505121231079,1.514923095703125
7,0.9490085244178772,0.30826035141944885,0.47679775953292847,1.6635946035385132
8,0.953345537185669,0.2826358377933502,0.4974575340747833,1.608786940574646
9,0.9558236002922058,0.2536517083644867,0.5248057842254639,1.828112244606018
10,0.9585899710655212,0.23458893597126007,0.5170288681983948,2.0240941047668457
11,0.9608985781669617,0.22067442536354065,0.4416506588459015,1.9279476404190063
12,0.9599874019622803,0.21094566583633423,0.519790530204773,1.7742739915847778
13,0.9640038013458252,0.1919293999671936,0.39858272671699524,2.105799913406372
14,0.9672221541404724,0.1742512732744217,0.47688058018684387,1.9660927057266235
15,0.9668421149253845,0.17101600766181946,0.39790040254592896,2.3482229709625244
16,0.9699633121490479,0.15524804592132568,0.39394745230674744,2.391389846801758
17,0.9697748422622681,0.1535455286502838,0.401253342628479,2.213390350341797
18,0.9743319749832153,0.13449054956436157,0.3921075165271759,2.606267213821411
19,0.9747923016548157,0.12800240516662598,0.3991670310497284,2.2632765769958496
20,0.9769056439399719,0.11609309166669846,0.3910379111766815,2.798387289047241
21,0.9788928627967834,0.10780280083417892,0.38443925976753235,3.2621936798095703
22,0.9770503044128418,0.1091037169098854,0.37329211831092834,3.5079197883605957
23,0.9779485464096069,0.10416872054338455,0.3097943365573883,3.4767262935638428
24,0.9782840013504028,0.10199961811304092,0.3615590035915375,3.0416808128356934
25,0.9797660112380981,0.09537900239229202,0.3885858654975891,2.356029748916626
26,0.9790349006652832,0.09363182634115219,0.3072070777416229,3.699262857437134
27,0.9823465347290039,0.08535903692245483,0.4656505882740021,2.2808148860931396
28,0.98102867603302,0.08663712441921234,0.30052095651626587,3.6265838146209717
29,0.9852133393287659,0.07430138438940048,0.30754682421684265,3.5049571990966797
30,0.9847983121871948,0.07273891568183899,0.30957165360450745,3.2678279876708984
31,0.9865061044692993,0.06801385432481766,0.30807554721832275,3.1446168422698975
32,0.9860823154449463,0.06702897697687149,0.3103877604007721,2.9337549209594727
33,0.9875341653823853,0.06304926425218582,0.30705031752586365,2.873384952545166
34,0.9847168326377869,0.06991938501596451,0.35148361325263977,3.057330369949341
35,0.985866367816925,0.06676279008388519,0.3543047606945038,3.206007480621338
36,0.9837157726287842,0.07037904113531113,0.39254435896873474,3.158474922180176
37,0.9853485226631165,0.06422825157642365,0.40906038880348206,2.683483839035034
38,0.9863553047180176,0.06136586144566536,0.30773085355758667,3.6842164993286133
39,0.9872006177902222,0.06398723274469376,0.5144333839416504,2.570863723754883
40,0.9882542490959167,0.0586969368159771,0.3109462559223175,3.096694231033325
41,0.9868678450584412,0.0610702782869339,0.3081056773662567,3.627565622329712
42,0.9870239496231079,0.060963839292526245,0.31003040075302124,3.4927337169647217
43,0.9875714778900146,0.0563153475522995,0.3090384602546692,3.774059534072876
44,0.9867680668830872,0.057851023972034454,0.30915477871894836,3.614375114440918
45,0.9882351756095886,0.05361633375287056,0.30814504623413086,3.3963427543640137
46,0.9827824831008911,0.07058917731046677,0.3111286759376526,3.8086819648742676
