class_name,precision,recall,f1_score,support
Benign,1.0,1.0,1.0,375
BruteForce,0.0,0.0,0.0,375
DDoS,1.0,1.0,1.0,375
DoS,1.0,1.0,1.0,375
Mirai,1.0,1.0,1.0,375
Recon,1.0,1.0,1.0,375
Spoofing,0.9920634920634921,1.0,0.9960159362549801,375
Web-based,0.4979919678714859,0.992,0.6631016042780749,375
macro avg,0.8112569324918723,0.874,0.8323896925666319,3000
weighted avg,0.8112569324918723,0.874,0.8323896925666319,3000
