class_name,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,164719
BruteForce,0.0,0.0,0.0,1960
DDoS,0.8101338056767172,0.6119182215003159,0.6972116744998171,4127344
DoS,0.19015497803495646,0.2406395191329132,0.21243912248596133,985553
Mirai,0.8501339578383336,0.8660443713543415,0.8580154131528119,259041
Spoofing,0.03319589304030792,0.4479757695364964,0.061811436070633004,72966
Web-based,0.0,0.0,0.0,1691
macro avg,0.269088376370045,0.30951112593200963,0.26135394945846047,5613274
weighted avg,0.6687274544638707,0.5379726697823766,0.5903459798760986,5613274
